Date,Mentions-DDoS,Mentions-Phishing,Mentions-Ransomware,Mentions-Password Attack,Mentions-SQL Injection,Mentions-Account Hijacking,Mentions-Defacement,Mentions-Trojan,Mentions-Vulnerability,Mentions-Zero-day,Mentions-Advanced persistent threat,Mentions-XSS,Mentions-Malware,Mentions-Data Breach,Mentions-Disinformation/Misinformation,Mentions-Targeted Attack,Mentions-Adware,Mentions-Brute Force Attack,Mentions-Malvertising,Mentions-Backdoor,Mentions-Botnet,Mentions-Cryptojacking,Mentions-Worms,Mentions-Spyware,Mentions-MITM,Mentions-DNS Spoofing,Mentions-Pegasus Spyware,Mentions-CoolWebSearch Spyware,Mentions-Gator GAIN Spyware,Mentions-180search Assistant Spyware,Mentions-Transponder vx2 Spyware,Mentions-WannaCry Ransomware,Mentions-Colonial Pipeline Ransomware,Mentions-Cryptolocker,Mentions-Dropper,Mentions-Wiper,Mentions-Pharming,Mentions-Insider Threat,Mentions-Drive-by,Mentions-Rootkit,Mentions-Adversarial Attack,Mentions-Data Poisoning,Mentions-Deepfake,Mentions-Deeplocker,Mentions-Supply Chain,Mentions-IoT Device Attack,Mentions-Keylogger,Mentions-DNS Tunneling,Mentions-Session Hijacking,Mentions-URL manipulation,Mentions-Unknown
mostlya4-02de-452e-a0e3-64bb6a070087,376,208,91,120,45,3,1,58,15825,1,16,18,238,98,79,11,4,23,5,10,35,0,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,26,1,4,59,1,50,0,23,30,1,0,4,1,0
mostly52-968d-4131-905f-6d8d342846f6,172,29,95,53,7,4,8,26,7467,26,36,16,1194,144,1,16,4,8,1,7,66,10,26,9,71,0,0,0,0,0,0,7,0,1,0,0,2,24,0,4,105,12,60,0,41,21,0,0,4,1,12
mostly0d-95ee-4e4a-b49f-e0112a74c471,384,201,97,153,38,3,1,58,24094,28,4,19,1164,52,106,10,6,8,0,54,148,13,14,7,34,5,0,0,0,0,0,10,0,0,0,0,2,11,9,13,44,9,73,0,22,47,3,0,6,1,12
mostly54-63e4-4bd4-b54b-7563a6139fd8,378,24,13,153,46,0,3,10,27031,25,33,19,222,147,72,15,4,20,0,54,62,11,28,0,75,1,0,0,0,0,0,10,0,1,0,0,2,48,1,7,159,0,3,0,12,2,1,6,6,0,10
mostlyac-a3f1-4b69-bbcc-5edfb5d1293e,142,192,101,144,52,3,5,58,26836,29,20,15,404,39,111,3,3,15,3,55,82,0,27,4,28,0,0,0,0,0,0,7,0,0,0,0,1,33,9,0,164,3,16,0,16,5,0,1,4,0,3
mostly3e-c051-485a-bd51-6ec8a81fbcc4,375,188,100,137,46,3,0,58,26945,26,16,17,822,152,91,12,3,11,1,4,146,14,23,8,70,5,0,0,0,0,0,1,0,0,0,0,0,3,6,0,9,11,49,0,17,75,3,8,1,0,2
mostly72-4181-4353-a071-29e88ca8864a,175,66,97,23,11,0,7,59,19226,2,33,18,760,149,185,9,1,35,2,49,89,9,4,2,72,2,0,0,0,0,0,9,0,0,0,0,2,42,10,3,2,0,80,0,17,42,5,2,7,1,11
mostlyc7-547f-4a18-b9d2-9c06ae109608,117,117,101,144,1,3,5,34,25737,15,34,19,1055,79,247,20,4,33,6,52,139,13,24,4,74,2,0,0,0,0,0,7,0,2,0,0,1,53,9,14,165,10,74,0,5,28,3,0,1,1,9
mostly3f-df03-46f3-9a32-03fce953f0aa,24,140,12,38,0,2,1,58,27025,18,20,20,795,13,152,4,2,33,2,50,67,13,5,9,48,1,0,0,0,0,0,10,0,0,0,0,0,8,10,8,107,0,30,0,40,18,0,0,6,1,9
mostlyce-fac5-44f5-ac45-6913b6bb0614,369,215,62,29,12,4,1,44,5477,29,3,9,742,148,101,23,5,33,3,1,6,12,4,3,59,5,0,0,0,0,0,5,0,0,0,0,4,33,8,6,27,0,40,0,20,3,0,0,0,1,1
mostlyc0-03b3-4414-9f02-9a6e009185ae,366,217,93,154,9,4,6,58,37480,25,13,13,285,151,238,15,2,22,2,40,146,14,2,9,77,5,0,0,0,0,0,5,0,0,0,0,4,39,5,13,1,13,4,0,1,11,1,9,5,0,1
mostly67-a023-4b2f-9e51-8912b1ccaa69,232,150,99,149,42,3,1,22,3333,25,23,9,1194,58,62,16,1,33,5,1,108,11,28,7,16,0,0,0,0,0,0,5,0,1,0,0,5,2,9,3,0,2,1,0,7,0,0,0,6,1,12
mostly79-6827-4fdf-b439-37fb964c87e6,397,90,101,98,10,2,5,43,30855,6,4,12,571,22,30,21,5,31,4,15,36,6,28,5,68,5,0,0,0,0,0,5,0,0,0,0,5,12,9,1,7,0,0,0,28,0,3,10,1,0,0
mostly51-72b9-4431-b850-ec673ebbd049,405,206,99,62,27,4,7,59,26020,25,29,15,489,153,242,22,4,7,2,58,146,11,25,1,69,5,0,0,0,0,0,9,0,0,0,0,5,32,9,0,124,12,70,0,20,43,0,0,6,1,6
mostlycd-fd88-4c17-b3ae-00aaf0d49d9d,191,216,33,154,52,3,1,59,28912,20,32,17,210,150,165,20,6,34,0,26,56,6,24,2,32,6,0,0,0,0,0,3,0,0,0,0,2,49,8,8,162,0,80,0,40,39,1,2,1,0,11
mostlyee-1f82-407f-a5c3-24cbb14d3146,385,80,93,156,24,3,0,58,33047,28,18,20,182,102,229,20,4,17,3,15,17,12,27,10,72,4,0,0,0,0,0,8,0,0,0,0,2,9,10,7,164,3,29,0,40,57,0,3,1,0,9
mostlyfa-9463-4e18-beca-131980ead9a5,377,168,39,158,30,3,7,48,16265,8,29,18,477,144,132,19,3,3,3,56,141,2,27,7,37,5,0,0,0,0,0,9,0,1,0,0,0,24,3,10,5,5,8,0,38,95,0,9,4,0,3
mostly83-49de-4563-882f-e7371f5ef9ee,196,215,25,76,49,0,4,17,36629,28,5,19,1110,144,32,20,0,8,5,52,40,12,28,5,38,4,0,0,0,0,0,6,0,2,0,0,0,46,8,14,162,0,29,0,0,56,1,7,4,0,4
mostlyca-56bb-4a21-8a72-ab6101c8f58b,388,7,92,145,48,2,3,58,5684,28,17,6,1173,152,151,5,5,7,3,60,84,0,7,9,78,0,0,0,0,0,0,6,0,1,0,0,1,30,7,9,38,1,59,0,17,9,1,0,7,0,12
mostly62-5d70-496e-8e2a-f1b13f4b38e9,150,213,18,145,9,4,6,8,18600,27,31,18,182,23,150,18,0,15,1,41,137,12,26,4,44,6,0,0,0,0,0,5,0,0,0,0,2,0,10,0,158,0,39,0,10,6,3,0,0,0,1
mostly09-3ad2-456b-952c-85aaf0cbb820,383,201,93,19,16,2,4,58,36867,28,24,3,176,60,83,13,5,35,6,37,61,11,13,1,20,5,0,0,0,0,0,6,0,1,0,0,0,46,9,13,93,1,10,0,40,11,0,10,0,1,6
mostlyeb-c771-40ac-bffd-45f65754b44a,399,102,45,145,1,4,2,60,15825,17,0,20,961,36,247,20,4,35,0,19,137,6,3,10,73,0,0,0,0,0,0,0,0,1,0,0,0,2,6,0,105,0,5,0,38,11,0,9,0,1,12
mostly37-37b9-4426-830b-eb77efdffaea,385,204,98,151,26,2,0,59,36977,8,10,1,573,151,41,3,4,17,1,9,137,8,24,0,69,4,0,0,0,0,0,9,0,1,0,0,0,10,10,8,5,0,30,0,17,20,0,2,0,1,9
mostly3a-0b7f-4b37-a8a8-1cc4ea084de8,362,80,90,19,50,3,7,59,25673,11,29,19,713,151,153,7,1,2,4,50,71,14,7,8,39,0,0,0,0,0,0,4,0,1,0,0,4,30,6,13,102,9,71,0,16,1,0,4,0,0,10
mostlyc7-37a9-434d-a066-8d2046e25e8b,366,202,91,132,19,4,6,39,25762,22,32,20,971,45,231,12,4,34,5,49,17,13,28,9,20,2,0,0,0,0,0,1,0,1,0,0,4,15,10,13,0,8,58,0,39,37,1,8,1,1,1
mostly8e-6d0c-4d3b-8566-011cb6ba2ccf,394,17,75,156,43,3,1,29,15718,28,11,20,689,153,232,22,0,31,0,49,143,8,21,7,77,2,0,0,0,0,0,10,0,1,0,0,4,37,6,2,163,7,30,0,11,108,0,0,3,0,6
mostlydd-fa58-4bd8-9c26-cbe797910c24,111,19,100,146,27,3,8,19,8797,6,17,20,182,152,75,23,5,22,1,36,127,8,17,3,72,0,0,0,0,0,0,8,0,1,0,0,3,9,7,13,119,2,10,0,35,0,4,4,1,0,10
mostlyaa-cccd-4e58-bbdf-65d982ec0832,397,136,98,148,29,0,6,58,5078,1,10,10,245,102,243,10,4,3,3,11,148,1,26,9,76,5,0,0,0,0,0,5,0,1,0,0,0,14,1,13,39,3,14,0,29,32,0,0,0,0,0
mostlyc7-8960-4a1e-ae0a-7d30bb578f36,148,216,57,30,1,3,0,59,22486,27,21,19,982,125,185,19,1,27,4,11,148,6,7,4,68,5,0,0,0,0,0,8,0,0,0,0,2,3,1,8,159,1,86,0,9,87,4,9,0,1,11
mostly1f-1040-4b92-9333-74daf77cd639,371,192,39,149,20,3,6,59,16303,20,0,5,684,56,248,5,5,19,3,12,145,13,16,3,62,0,0,0,0,0,0,11,0,1,0,0,4,33,6,0,71,6,6,0,40,6,3,3,3,1,4
mostly0a-6c84-46a2-96ab-0fdfbb065920,260,63,83,153,47,1,2,53,42653,4,28,3,668,108,191,21,5,10,5,25,62,3,25,11,70,0,0,0,0,0,0,6,0,1,0,0,5,3,6,2,100,12,30,0,0,1,2,3,1,0,6
mostlyb9-169f-4ae5-a1c6-1349a4dffc61,381,196,83,143,30,3,4,53,2542,19,20,20,1096,151,94,21,6,29,0,3,146,2,28,2,33,4,0,0,0,0,0,7,0,0,0,0,0,47,3,7,165,12,0,0,9,70,4,9,6,0,3
mostlye6-ad65-4328-b676-7876d9c988ff,327,141,87,157,31,3,0,58,29519,15,7,20,238,145,122,18,6,2,4,61,140,11,20,11,12,0,0,0,0,0,0,8,0,1,0,0,0,26,10,7,165,7,10,0,9,99,0,4,1,0,6
mostlyc0-8f54-4421-95fd-86c7035e3187,250,118,91,50,12,1,0,58,26037,29,28,20,224,13,94,8,4,29,3,14,145,1,3,4,39,0,0,0,0,0,0,5,0,1,0,0,0,20,9,9,164,2,70,0,11,55,0,8,2,1,5
mostly44-58cd-4d0b-a8e5-3b86f22e3fbd,328,186,83,74,42,2,0,35,17895,27,3,15,609,55,232,14,0,11,5,55,124,0,15,9,3,0,0,0,0,0,0,0,0,1,0,0,2,0,10,0,7,9,30,0,24,40,1,0,1,0,11
mostly14-a2e7-43da-b740-a7b5a22611e7,359,69,90,66,41,0,1,9,25860,27,24,20,968,36,161,14,4,22,1,8,138,13,19,9,30,4,0,0,0,0,0,0,0,1,0,0,0,47,1,0,8,12,0,0,19,13,1,10,7,0,1
mostlyf0-2fe2-4d10-b5b5-c33b162410ac,341,214,0,103,12,4,4,59,30644,30,17,20,1192,123,48,21,6,5,1,1,27,12,27,7,19,4,0,0,0,0,0,8,0,2,0,0,0,52,9,13,151,4,30,0,33,26,0,2,0,1,11
mostlye5-2856-429f-8807-bb5b8c14156e,247,204,85,18,21,2,2,48,17559,29,17,13,268,153,256,2,5,14,4,60,126,13,6,0,9,2,0,0,0,0,0,11,0,0,0,0,5,38,7,8,115,4,64,0,33,50,0,3,1,1,2
mostlydf-0a68-4d6b-af36-373d155549f1,399,154,84,145,43,3,8,12,9820,25,11,3,1329,146,35,13,1,6,4,57,140,11,25,4,76,6,0,0,0,0,0,7,0,0,0,0,3,23,2,5,130,13,19,0,40,16,4,3,0,1,10
mostly95-9b45-43b3-a2c8-c1a5cbe48fe8,112,20,69,104,42,1,0,0,9872,28,6,6,241,146,125,1,3,16,2,10,34,14,27,6,37,5,0,0,0,0,0,8,0,0,0,0,0,14,9,3,8,0,10,0,37,20,1,0,0,0,7
